city,longitude,latitude
aalborg,9.9215263,57.0462626
bagdad,44.3872213,33.3061701
cairns,145.7721854,-16.9206657
daca,90.389015,23.7644025
edimburgo,-3.1883749,55.9533456
fairbanks,-147.66991691593407,64.82897449999999
gainesville,-82.3249846,29.6519684
hagen,7.473296,51.3582945
iliamna,-154.8230265,59.7532274
jackson,-90.1830408,32.2998686
kabul,69.1776838,34.5260109
la ceiba,-86.7917749,15.7833743
maastricht,5.6909768,50.8512438
n'djamena,15.0502758,12.1191543
oakland,-122.271356,37.8044557
pago pago,-170.7048298,-14.2754786
qingdao,120.3192081,36.0637967
rabat,-6.8340222,34.02236
saarbrücken,6.996379,49.234362
tabriz,46.2978789,38.0738612
ube,131.2472243,33.9518498
vaasa,21.479812522296804,63.081820949999994
wabush,-66.8701732,52.8999927
xiamen,118.0853479,24.4801069
yakima,-120.510842,46.601557
zacatecas,-102.9333954,23.0916177
aarhus,10.2134046,56.1496278
bagdad,44.3872213,33.3061701
cajamarca,-78.833333,-6.25
dakar,-17.447938,14.693425
edmonton,-113.491241,53.5462055
fargo,-96.789821,46.877229
galena,-90.4294726,42.4157304
haikou,110.1956502,20.0462328
indianápolis,-86.1583502,39.7683331
jackson,-90.1830408,32.2998686
kaduna,7.8533226,10.3825318
la crosse,-91.2514355,43.8122836
macon,-83.6324022,32.8406946
nadi,177.4178549,-17.7992725
oaxaca,-96.5,17.0
palembang,104.7568507,-2.9888243
quebec,-71.8258668,52.4760892
rabaul,152.1728287,-4.1984592
sacramento,-121.493895,38.5810606
tabuk,37.6328648,28.3251866
ukiah,-123.2077861,39.1501662
valdosta,-83.2784851,30.8327022
waco,-97.1474628,31.5491899
xi'an,108.9423363,34.261004
yakutat,-139.3429439,59.6391781
zagreb,15.9772795,45.8130967
abadán,48.2591475,30.3636097
calama,-68.9272181,-22.4623917
dalaman,110.5743027,-7.4090373
eek,-162.03049850752097,60.2158285
faro,-7.9351771,37.0162727
garoua,13.3934527,9.3070698
hail,41.4892578,26.9920987
innsbruck,11.3927685,47.2654296
jacksonville,-81.655651,30.3321838
kagoshima,130.5474077,31.521587
la grande,-118.0878695,45.3246068
madison,-89.3837613,43.074761
nagasaki,129.7874339,33.1154683
oita,131.6096524,33.2393864
palermo,13.3524434,38.1112268
quetta,67.0172447,30.1957677
raleigh,-78.6390989,35.7803977
tacna,-70.2511032,-18.01386
ulán bator,106.91796375225584,47.940974049999994
valencia,-0.3763353,39.4697065
washington,-120.212613,47.2868352
yamagata,140.083237,38.4746705
zahedán,60.8503017,29.4928874
abakán,91.4406019,53.72068
bakersfield,-119.019463,35.3738712
calcuta,88.3638953,22.5726459
dalian,122.255833,39.740278
eilat,34.94527476661743,29.554030599999997
fayetteville,-94.1574328,36.0625843
gassim,43.77196743219777,26.30056745
hakodate,140.729008,41.768793
inuvik,-133.720386,68.3602632
jaipur,75.8189817,26.9154576
kahului,-156.4727118,20.8894101
la habana,-82.3589631,23.135305
madrás,-121.129487,44.6334544
nagoya,136.8998438,35.1851045
okayama,133.7759256,34.8581334
palm springs,-116.540303,33.8246269
quinhagak,-161.8972349,59.7506428
rangún,96.1609916,16.7967129
saipán,145.746743003024,15.1909825
taegu,128.6018,35.8713
umea,20.2630745,63.8256568
valencia,-0.3763353,39.4697065
washington,-120.212613,47.2868352
yantai,121.4425255,37.461928
zanzíbar,39.32095346946217,-6.0999709499999994
aberdeen,-2.0928095,57.1482429
balmaceda,-71.6997225,-45.9093931
calgary,-114.057541,51.0456064
dallas,-96.7968559,32.7762719
eindhoven,5.478633,51.4392648
fayetteville,-94.1574328,36.0625843
gauhati,91.753943,26.1805978
halifax,-63.5859487,44.648618
ipoh,101.0900236,4.5986817
janesville,-89.0226793,42.6829765
kailua,-155.95643656658336,19.663401
la paz,-68.1336229,-16.4955455
madrid,-3.7035825,40.4167047
nairobi,36.8172449,-1.2832533
okinawa,128.0255901,26.5707754
palma de mallorca,2.7092683401782343,39.58125245
quito,-78.5123274,-0.2201641
rapid city,-103.228023,44.0806041
taichung,120.6478282,24.163162
unalakleet,-160.7880556,63.8730556
valera,10.2848985,44.799253
washington,-120.212613,47.2868352
yellowknife,-114.377385,62.4540807
zaragoza,-0.8809428,41.6521342
aberdeen,-2.0928095,57.1482429
baltimore,-76.610759,39.2908816
cali,-76.5328732,3.4519238
dallas,-96.7968559,32.7762719
el paso,-106.4870404,31.7601164
fez,9.492583950436877,47.66777675
gemena,19.7750831,3.2549286
hall beach,-81.2439606,68.7927301
iqaluit,-68.5213763,63.7492738
jersey,-2.1358386,49.2214561
kalamazoo,-85.5872286,42.291707
la paz (méx.),-98.94631359855612,19.36376855
magadán,150.7988617,59.5604768
nairobi,36.8172449,-1.2832533
omaha,-95.9383758,41.2587459
papeete,-149.5659964,-17.5373835
querétaro,-99.8837376,20.8052225
rarotonga,-159.77747437744517,-21.236831199999997
salt lake city,-111.886797,40.7596198
taif,-14.401021,16.4420887
urumqi,87.319461,43.419754
valladolid,-4.728605,41.6521807
watson lake,-128.7068037,60.0624306
yinchuan,106.2261926,38.4852037
zaragoza,-0.8809428,41.6521342
abha,42.5043596,18.2164282
baltimore,-76.610759,39.2908816
calicut,75.7754716,11.2450558
damasco,-91.6027438,17.1634131
el salvador,-88.9140683,13.8000382
fillmore,-92.0636359,43.6466588
génova,8.9338624,44.40726
hamburgo,10.000654,53.550341
iquique,-70.1524646,-20.2140657
jinan,116.534208,31.7517806
kalispell,-114.315321,48.202158
labuan,115.2198613,5.3168336
maiduguri,13.1536214,11.8395375
nanchang,115.8540042,28.687547
ontario,-86.000977,50.000678
paphos,32.4231586,34.7743988
quintana roo,-88.5000001,19.6666671
recife,-34.8848193,-8.0584933
saltillo,-100.9927509,25.4230425
taipéi,121.5636796,25.0375198
uagadugú,-1.5270944,12.3681873
vancouver,-123.113952,49.2608724
wausau,-89.6272791,44.9597858
yurimaguas,-76.1046533,-5.8951672
zhanjiang,110.3548318,21.2737079
abilene,-99.7475905,32.44645
bamako,-7.984739136241295,12.61326555
calvi,8.7590528,42.5677079
danville,-87.6304614,40.125222
elko,-115.3272864,41.1958128
florencia,11.2556404,43.7697955
ginebra,6.1466014,46.2017559
hamilton,-79.8728583,43.2560802
iron mountain,-88.06596,45.820233
johannesburgo,28.049722,-26.205
kalskag,-160.3149144,61.5377005
lae,147.0008109,-6.7301976
majuro,171.3816354,7.0909924
nancy,6.1834097,48.6937223
orán,-0.6502981,35.7044415
paramaribo,-55.1703941,5.8247628
red devil,-157.35484000764438,61.785341
salvador,-88.9140683,13.8000382
taipéi,121.5636796,25.0375198
västerås,16.5463679,59.6110992
wellington,174.7772114,-41.2887953
zhengzhou,107.2297041,23.246071
abiyán,-4.016107,5.320357
bandar abbas,56.2781423,27.1793466
cambridge bay,-105.0603881,69.1178442
dar es salaam,39.2803583,-6.8160837
ely,0.262039,52.3990199
florencia,11.2556404,43.7697955
gladewater,-94.9427169,32.5365333
hampton,-76.3442846,37.0264414
isfahan,51.6650002,32.6707877
johor bahru,103.7495586,1.503555
kaltag,-158.74209777549208,64.3176675
lafayette,-83.2221527,29.9978185
málaga,-4.4216366,36.7213028
nanisivik,-84.5406949,73.0348909
örebro,15.2151181,59.2747287
paramaribo,-55.1703941,5.8247628
redding,-122.391675,40.5863563
salzburgo,13.0464806,47.7981346
taiyuan,112.5452739,37.870009
växjö,14.8050364,56.8765384
wenatchee,-120.310349,47.4234599
yibuti,43.1472724,11.5936903
zihuatanejo,-101.551974,17.6467874
abu dabi,54.3774014,24.4538352
bandar seri begawan,114.9417574,4.8895453
campo grande,-54.6162947,-20.4640173
darwin,130.8410469,-12.46044
enschede,6.8940537,52.2209855
flores,120.59815014764581,-8.50998605
glasgow,-4.2501687,55.861155
hangzhou,120.2052342,30.2489634
isiro,27.6208169,2.7742702
jönköping,14.165719,57.7825634
kanab,-112.5285237,37.0481715
lagos,3.3941795,6.4550575
malé,9.1668764,46.0726871
nanjing,118.7788631,32.0438284
orlando,-81.3790304,28.5421109
parís,2.3483915,48.8534951
regina,-104.6158764,50.4479733
san angelo,-100.4405094,31.4649685
takamatsu,134.0465338,34.3425592
venecia,12.3345898,45.4371908
west palm beach,-80.0532942,26.715364
yakarta,106.8270488,-6.175247
zúrich,8.5410422,47.3744489
abuya,7.4892974,9.0643305
bangalore,77.590082,12.9767936
canaima,-63.1794655,10.6268452
dávao,125.6080623,7.0648306
entebbe,32.4698564,0.0611715
fort de francia,1.3304937,43.2191091
glasgow,-4.2501687,55.861155
hanoi,105.854041,21.0283334
isla de pascua,-109.3495887115113,-27.12593175
juanjui,-76.7508655425741,-7.27200325
kananga,22.408589,-5.8951725
laguna beach,-117.785366,33.5426975
malmö,13.0001566,55.6052931
nanning,108.3627211,22.8193063
osaka,135.490357,34.6198813
parís,2.3483915,48.8534951
reikiavik,-21.9422367,64.145981
san antonio,-98.4951405,29.4246002
talara,-81.2718335,-4.5796872
venecia,12.3345898,45.4371908
westchester,-73.7907554,41.1763139
yakarta,106.8270488,-6.175247
acapulco,-99.8940182,16.8680495
bangkok,100.4935089,13.7524938
cancún,-86.8425761,21.1527467
dayton,-84.1916069,39.7589478
ercan,11.420695,47.2689743
fort pierce,-80.3256056,27.4467056
goma,29.225652,-1.6665685
hanover,9.7385532,52.3744779
islamabad,73.0651511,33.6938118
juba,31.5959173,4.8459246
kano,8.5364136,11.8948389
lahad datu,118.3275533,5.0215726
malongo,33.875751,0.758484
nantes,-1.5541362,47.2186371
osaka,135.490357,34.6198813
parís,2.3483915,48.8534951
reno,-119.8126581,39.5261206
san antonio,-98.4951405,29.4246002
tallahassee,-84.2809332,30.4380832
venetie,12.3345898,45.4371908
whitehorse,-135.054932,60.721571
yakarta,106.8270488,-6.175247
acarigua,-69.2032823,9.5507961
bangor,-68.7713289,44.8016255
cape girardeau,-89.5230357,37.3034933
daytona beach,-81.0228331,29.2108147
ereván,44.5126233,40.1777112
fort simpson,-121.354276,61.8631427
harare,31.0601584,-17.8567035
islas de scilly,-6.309969286153118,49.91378315
juliaca,-70.1356177,-15.4932314
kansas city,-94.5781416,39.100105
lahore,74.3141829,31.5656822
malta,14.4476911,35.8885993
nantucket,-70.0951867,41.2727997
osaka,135.490357,34.6198813
parís,2.3483915,48.8534951
resolute,-94.840851,74.697029
san diego,-117.162772,32.7174202
tallin,24.7453688,59.4372155
veracruz,-96.666667,19.333333
wichita,-97.3375448,37.6922361
yeda,39.1653612,21.5810088
acra,-0.2012376,5.5571096
bangui,18.5835913,4.3635118
caracas,-66.9146008,10.5060934
decatur,-88.9524151,39.8454163
erfurt,11.0287364,50.9777974
fort smith,-94.4265011,35.3880338
goose bay,-60.416667,53.333333
harbin,126.6276177,45.7593633
islas de scilly,-6.309969286153118,49.91378315
juneau,-90.1218405,43.9532381
kansas city,-94.5781416,39.100105
lake charles,-93.2169807,30.2305095
manado,124.8408708,1.4900578
napakiak,-161.99711800484448,60.685224000000005
oshkosh,-88.5408574,44.0206919
pasco,-75.25,-10.5
riad,46.7160104,24.638916
san francisco,-122.4193286,37.7792588
tamanrasset,4.3208436,24.3753438
vernal,-109.528474,40.4556825
wichita falls,-98.5020777,33.9004572
yucatán,-89.74269714573893,18.801685900000003
adana,35.3252861,36.9863599
banjul,-16.575646,13.45535
cardiff,-3.1791934,51.4816546
deer lake,-76.0604916,40.6250914
erie,-80.0852695,42.1294712
fort wayne,-85.1386015,41.0799898
goroka,145.3932891,-6.0730028
harlingen,-97.6960599,26.1907543
islip,-73.2107266,40.7300685
jalisco,-103.6666671,20.3333331
kaohsiung,120.3120375,22.6203348
lanai city,-156.919785,20.826084
managua,-86.2737642,12.1544035
napaskiak,-161.75844567393023,60.706395
osijek,18.6953685,45.5548793
paso falso,-69.042389,-54.5491658
richmond,-77.43428,37.5385087
san francisco,-122.4193286,37.7792588
tampa,-82.458444,27.9477595
verona,10.9924122,45.4384958
wilmington,-75.546589,39.7459468
adelaida,138.5999312,-34.9281805
baotou,109.944912,40.6174777
carlsbad,-117.3505966,33.1580933
delhi,77.1716954,28.6273928
este londres,-54.9471163,-34.9328263
fort yukon,-145.273888,66.5647222
gotemburgo,11.9670171,57.7072326
harrisburg,-76.8861122,40.2663107
ithaca,-76.4968019,42.4396039
karachi,67.0207055,24.8546842
langkawi,99.7928634,6.3700386
manaos,-59.9825041,-3.1316333
nápoles,14.2487679,40.8358846
oslo,10.7389701,59.9133301
pau,-0.3685668,43.2957547
riga,24.1051846,56.9493977
san josé,-84.0795782,9.9325427
tampere,23.7603118,61.4980214
victoria,144.6780052,-36.5986096
windhoek,17.0772739,-22.5776104
adén,45.028504,12.789585
barbados,-59.5250305,13.1500331
cartagena,-75.5441671,10.4265566
delta,-95.6749486,33.3926893
eugene,-123.0950506,44.0505054
fortaleza,-38.5217989,-3.7304512
gran caimán,-81.17122162349,19.32984715
hartford,-72.6908547,41.764582
izmir,27.02997,38.23166
karaganda,74.1811272,49.1767322
lansing,-84.5553805,42.7337712
manchester,-2.2451148,53.4794892
